date,forecast,lower,upper
2015-01-02,3.1391396315031264,2.0023337193716926,4.264463213837826
2015-01-03,3.132432880905271,1.940130826542463,4.318832532083589
2015-01-04,3.1270434877537414,2.075168015546613,4.250301159009234
2015-01-05,3.1447134016315186,2.0442638762587717,4.249706630760384
2015-01-06,3.145250290749058,2.016004016151977,4.1847187487702335
2015-01-07,3.166577575055878,2.118701049271793,4.251101595775685
2015-01-08,3.159109275707083,2.072655251400761,4.213705374739812
2015-01-09,3.119569948219423,2.030324555010216,4.12699495471391
2015-01-10,3.1207892517113267,2.0504715413546655,4.180901031156913
2015-01-11,3.122782326155582,2.012558481937704,4.196975921527853
2015-01-12,3.1470499783178862,2.02022499597548,4.2402103541264475
2015-01-13,3.153539932561114,2.017191545709612,4.226278206089624
2015-01-14,3.17984781023769,2.087445836536089,4.278808331867495
2015-01-15,3.1766018820872994,2.0776712403709356,4.303425004960694
2015-01-16,3.1404710754588003,2.0919587128913673,4.245556664374413
2015-01-17,3.143778458109197,2.037902572283883,4.264532824918554
2015-01-18,3.146736137510175,1.956552078036963,4.260073586653726
2015-01-19,3.1706837860565753,1.9939550108461737,4.190376933908915
2015-01-20,3.1758028300881933,2.036420700807099,4.355843309921833
2015-01-21,3.199466904017617,2.0799287278134155,4.258660988867761
2015-01-22,3.192634610540416,2.1512789027413053,4.2712869098748225
2015-01-23,3.152043328092229,2.1132034295203104,4.233612993877187
2015-01-24,3.1496390146003246,2.055844562944227,4.257552428481438
2015-01-25,3.145962782773127,2.063314197177143,4.177968284539585
2015-01-26,3.1623247456283217,2.058020903668791,4.334657822282493
2015-01-27,3.1592680373755333,2.1851917191494423,4.292290237380656
2015-01-28,3.1740656382345342,2.0328893780745325,4.329059402858897
2015-01-29,3.1581181319202543,2.0839221968693673,4.2198350262246525
2015-01-30,3.1083304861179157,2.002534815666967,4.220002852636145
2015-01-31,3.0963556179167813,2.0079376528831694,4.181164378408903
2015-02-01,3.083130434485024,1.952936935665387,4.215119310722848
2015-02-02,3.089983205314817,2.023527887273603,4.216209401319689
2015-02-03,3.0778460960533467,1.9043280388760242,4.175443623367376
2015-02-04,3.0838975639823216,1.9479063102012806,4.261502400924905
2015-02-05,3.059964860847737,1.973109882183688,4.198874611693676
2015-02-06,3.0030840957617198,1.8720301968066473,4.1108983607021825
2015-02-07,2.984558429791635,1.9424739671981857,4.071930259448501
2015-02-08,2.9656449877646582,1.9954178223635175,3.9872407969150805
2015-02-09,2.967597665421097,1.889027995025742,4.069582908498614
2015-02-10,2.9516305359602675,1.818959546625807,4.108190699931712
2015-02-11,2.95470856306167,1.8291400958493735,4.104427882234183
2015-02-12,2.92895790687375,1.8729167575793149,3.9943818687232384
2015-02-13,2.871412552432908,1.7890551204062144,4.093824520934362
2015-02-14,2.8528905491763594,1.7926980982180067,3.933773498019282
